t_sec,north,east,up
1.630040599999999884e+01,-2.501488494873046875e+01,8.162203216552734375e+01,7.092681884765625000e+00
1.640681500000000170e+01,-2.609982109069824219e+01,8.292504119873046875e+01,7.277061462402343750e+00
1.650355100000000164e+01,-2.710872459411621094e+01,8.411886596679687500e+01,7.379699707031250000e+00
1.660033900000000173e+01,-2.815900039672851562e+01,8.530425262451171875e+01,7.450195312500000000e+00
1.670661600000000035e+01,-2.939207839965820312e+01,8.656450653076171875e+01,7.540054321289062500e+00
1.680346199999999968e+01,-3.060492134094238281e+01,8.765046691894531250e+01,7.647827148437500000e+00
1.690013000000000076e+01,-3.190270805358886719e+01,8.866629028320312500e+01,7.769607543945312500e+00
1.700622200000000106e+01,-3.342112350463867188e+01,8.970915985107421875e+01,7.904510498046875000e+00
1.710299399999999892e+01,-3.486566162109375000e+01,9.060011291503906250e+01,8.017791748046875000e+00
1.719961199999999835e+01,-3.636204910278320312e+01,9.143362426757812500e+01,8.123802185058593750e+00
1.730598099999999917e+01,-3.806604766845703125e+01,9.227719879150390625e+01,8.244659423828125000e+00
1.740278100000000094e+01,-3.965790557861328125e+01,9.296494293212890625e+01,8.370559692382812500e+00
1.750900400000000090e+01,-4.145032119750976562e+01,9.362408447265625000e+01,8.534996032714843750e+00
1.760568800000000067e+01,-4.310296630859375000e+01,9.412546539306640625e+01,8.709228515625000000e+00
1.770233100000000093e+01,-4.477177047729492188e+01,9.453369903564453125e+01,8.903038024902343750e+00
1.779936899999999866e+01,-4.645861816406250000e+01,9.484113311767578125e+01,9.116912841796875000e+00
1.790535699999999864e+01,-4.832213211059570312e+01,9.504820251464843750e+01,9.385124206542968750e+00
1.800207800000000091e+01,-5.003057479858398438e+01,9.513496398925781250e+01,9.636726379394531250e+00
1.809861199999999926e+01,-5.174674987792968750e+01,9.514127349853515625e+01,9.869438171386718750e+00
1.820510600000000068e+01,-5.364819717407226562e+01,9.506187438964843750e+01,1.009745788574218750e+01
1.830229699999999937e+01,-5.538013839721679688e+01,9.492246246337890625e+01,1.026937103271484375e+01
1.840858800000000173e+01,-5.729345321655273438e+01,9.470149993896484375e+01,1.041392517089843750e+01
1.850506100000000131e+01,-5.902858352661132812e+01,9.442619323730468750e+01,1.051045989990234375e+01
1.860147299999999859e+01,-6.075762176513671875e+01,9.407352447509765625e+01,1.059287261962890625e+01
1.869806000000000168e+01,-6.247389221191406250e+01,9.363958740234375000e+01,1.066999816894531250e+01
1.880442700000000045e+01,-6.433564758300781250e+01,9.305833435058593750e+01,1.076286315917968750e+01
1.890114399999999861e+01,-6.598390960693359375e+01,9.241415405273437500e+01,1.087506103515625000e+01
1.900763200000000097e+01,-6.774217987060546875e+01,9.158284759521484375e+01,1.103504943847656250e+01
1.910419299999999865e+01,-6.929014587402343750e+01,9.073471069335937500e+01,1.120893096923828125e+01
1.920121599999999873e+01,-7.080378723144531250e+01,8.980622863769531250e+01,1.140404510498046875e+01
1.930726800000000054e+01,-7.243198394775390625e+01,8.870129394531250000e+01,1.163680267333984375e+01
1.940388099999999838e+01,-7.388677978515625000e+01,8.763458251953125000e+01,1.184477996826171875e+01
1.950049200000000127e+01,-7.534085083007812500e+01,8.652595520019531250e+01,1.202539825439453125e+01
1.960702699999999865e+01,-7.695376586914062500e+01,8.527304077148437500e+01,1.216368103027343750e+01
1.970389799999999880e+01,-7.843717956542968750e+01,8.411101531982421875e+01,1.222358703613281250e+01
1.980048599999999936e+01,-7.992470550537109375e+01,8.291860961914062500e+01,1.223451232910156250e+01
1.990671899999999894e+01,-8.155424499511718750e+01,8.156835937500000000e+01,1.221360778808593750e+01
2.000346899999999906e+01,-8.302040863037109375e+01,8.029165649414062500e+01,1.217489624023437500e+01
2.010011300000000034e+01,-8.447224426269531250e+01,7.898261260986328125e+01,1.209225463867187500e+01
2.020656200000000169e+01,-8.604725646972656250e+01,7.750067901611328125e+01,1.196102905273437500e+01
2.030298600000000064e+01,-8.741312408447265625e+01,7.609379577636718750e+01,1.185717773437500000e+01
2.039968599999999910e+01,-8.866212463378906250e+01,7.461843872070312500e+01,1.181675720214843750e+01
2.050602900000000162e+01,-8.985729980468750000e+01,7.292979431152343750e+01,1.185092163085937500e+01
2.060286899999999832e+01,-9.076982879638671875e+01,7.135073852539062500e+01,1.193628692626953125e+01
2.069941599999999937e+01,-9.151320648193359375e+01,6.974172973632812500e+01,1.205178070068359375e+01
2.080582499999999868e+01,-9.215713500976562500e+01,6.794427490234375000e+01,1.218281555175781250e+01
2.090251699999999957e+01,-9.261862182617187500e+01,6.630036926269531250e+01,1.227638244628906250e+01
2.100879899999999978e+01,-9.304615020751953125e+01,6.448526763916015625e+01,1.231875610351562500e+01
2.110555000000000092e+01,-9.338093566894531250e+01,6.282643890380859375e+01,1.229840087890625000e+01
2.120220000000000127e+01,-9.363587188720703125e+01,6.116782760620117188e+01,1.224359130859375000e+01
2.129886499999999927e+01,-9.377033996582031250e+01,5.953113937377929688e+01,1.217451477050781250e+01
2.140523400000000009e+01,-9.377091217041015625e+01,5.777266311645507812e+01,1.207887268066406250e+01
2.150230200000000025e+01,-9.365040588378906250e+01,5.623864746093750000e+01,1.197862243652343750e+01
2.159854800000000097e+01,-9.341777801513671875e+01,5.476745605468750000e+01,1.185847473144531250e+01
2.170498699999999914e+01,-9.305418395996093750e+01,5.322377395629882812e+01,1.170064544677734375e+01
2.180246999999999957e+01,-9.263520812988281250e+01,5.189191055297851562e+01,1.153189086914062500e+01
2.190844600000000142e+01,-9.208393859863281250e+01,5.052710342407226562e+01,1.132868957519531250e+01
2.200525599999999926e+01,-9.149324035644531250e+01,4.941226959228515625e+01,1.113951873779296875e+01
2.210147200000000112e+01,-9.083799743652343750e+01,4.839045715332031250e+01,1.094816589355468750e+01
2.219802500000000123e+01,-9.013111114501953125e+01,4.745111846923828125e+01,1.074606323242187500e+01
2.230430700000000144e+01,-8.931510162353515625e+01,4.648893737792968750e+01,1.050180053710937500e+01
2.240104699999999838e+01,-8.854280853271484375e+01,4.565266418457031250e+01,1.025851440429687500e+01
2.250758799999999837e+01,-8.764376068115234375e+01,4.478659057617187500e+01,9.988533020019531250e+00
2.260404199999999975e+01,-8.678565979003906250e+01,4.405794906616210938e+01,9.778701782226562500e+00
2.270073299999999961e+01,-8.589574432373046875e+01,4.336909484863281250e+01,9.614830017089843750e+00
2.280708600000000175e+01,-8.488877105712890625e+01,4.262588119506835938e+01,9.462562561035156250e+00
2.290391199999999827e+01,-8.395596313476562500e+01,4.193319320678710938e+01,9.306373596191406250e+00
2.300049999999999883e+01,-8.300998687744140625e+01,4.120619201660156250e+01,9.102088928222656250e+00
2.310679899999999876e+01,-8.194892120361328125e+01,4.036557388305664062e+01,8.833412170410156250e+00
2.320356299999999905e+01,-8.095126342773437500e+01,3.957414627075195312e+01,8.588195800781250000e+00
2.330012800000000084e+01,-7.991966247558593750e+01,3.876769256591796875e+01,8.371932983398437500e+00
2.340666500000000028e+01,-7.874412536621093750e+01,3.786930847167968750e+01,8.182922363281250000e+00
2.350323500000000010e+01,-7.763753509521484375e+01,3.704561233520507812e+01,8.067550659179687500e+00
2.359988799999999998e+01,-7.650497436523437500e+01,3.623548507690429688e+01,8.013542175292968750e+00
2.370633000000000123e+01,-7.523555755615234375e+01,3.537448120117187500e+01,8.041809082031250000e+00
2.380363900000000044e+01,-7.406902313232421875e+01,3.463874053955078125e+01,8.171218872070312500e+00
2.389951599999999843e+01,-7.289756774902343750e+01,3.396440887451171875e+01,8.402030944824218750e+00
2.400596799999999931e+01,-7.160507965087890625e+01,3.330228042602539062e+01,8.733573913574218750e+00
2.410259399999999985e+01,-7.042389678955078125e+01,3.278120422363281250e+01,9.078155517578125000e+00
2.419928799999999924e+01,-6.923505401611328125e+01,3.234806823730468750e+01,9.463813781738281250e+00
2.430605100000000007e+01,-6.791811370849609375e+01,3.198019599914550781e+01,9.916900634765625000e+00
2.440232599999999863e+01,-6.671745300292968750e+01,3.174520683288574219e+01,1.034471130371093750e+01
2.450872800000000140e+01,-6.540153503417968750e+01,3.160884857177734375e+01,1.083673858642578125e+01
2.460535199999999989e+01,-6.421262359619140625e+01,3.159120941162109375e+01,1.129485321044921875e+01
2.470217200000000091e+01,-6.303688812255859375e+01,3.168195915222167969e+01,1.175981140136718750e+01
2.479926299999999983e+01,-6.188216400146484375e+01,3.188613128662109375e+01,1.223218536376953125e+01
2.490510499999999894e+01,-6.064866256713867188e+01,3.222868728637695312e+01,1.274479675292968750e+01
